Species,Subspecies,ID,Sex,Locality,Country,Altitude,Measurer,Bill_TotalCulmen,Bill_FromNostril,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Wing_Chord,Tail_Length,Gape Width
Z. kaffensis,,1912.10.15.1265,M,"Charada Forest, Kaffa, S Abyssinia highlands (south of lakeTthana)",Ethiopia,6000',FCM,12.51,6.1,2.83,2.86,15.95,9.35,58,46,5.45
Z. poliogaster,,1946.5.2733,M,20miles N Burgi (S Abyssinia),,7000',FCM,13.15,7.19,2.54,2.96,16.94,9.72,63,50,5.72
Z. poliogaster,,1954.26.20,M,"Faghena, 12miles NE Asmara",Eritrea,5570',FCM,13.36,6.74,2.86,3.3,15.35,10.9,62.5,49,5.8
Z. poliogaster,,1954.26.21,F,"Faghena, 12miles NE Asmara",Eritrea,5570',FCM,12.41,6.75,2.99,2.91,16.06,10.33,60,46.5,5.5
Z. poliogaster,,1946.5.2725,F,"Alghe, evergreen forest",S Abyssinia (Ethiopia),6000',FCM,11.92,6.41,2.47,2.62,16.49,9.76,59.5,48,5.56
Z. poliogaster,,1946.5.2726,F,"Alghe, evergreen forest",S Abyssinia (Ethiopia),6000',FCM,11.82,5.79,2.62,2.88,16.59,10.37,59,47,5.36
Z. poliogaster,,1946.5.2728,M,"Alghe, evergreen forest",S Abyssinia (Ethiopia),6000',FCM,11.75,6.05,2.64,2.87,16.52,10.81,61,49.5,5.64
Z. poliogaster,,1946.5.2729,M,"Alghe, evergreen forest",S Abyssinia (Ethiopia),6000',FCM,11.8,5.88,2.48,2.88,16.75,9.8,60.5,48.5,5.88
Z. s. stierlingi,,1952.60.9,F,Poroto Mts,SW Tanganyka terr,8000',FCM,11.4,6.24,2.56,2.87,16.22,10.23,58,40.5,5.33
Z. s. stierlingi,,1952.60.10,F,Poroto Mts,SW Tanganyka terr,8000',FCM,11.38,6.24,2.4,2.71,16.35,10.78,58.5,40,5.56
Z. s. stierlingi,,1952.60.11,F,Poroto Mts,SW Tanganyka terr,8000',FCM,11.28,6.28,2.32,2.71,16.05,10.7,57,41,5.31
Z. s. stierlingi,,1952.60.12,F,Poroto Mts,SW Tanganyka terr,8000',FCM,11.5,5.98,2.85,2.97,15.84,9,56.5,40,5.38
Z. s. stierlingi,,1952.60.13,M,Poroto Mts,SW Tanganyka terr,8000',FCM,10.42,5.93,2.12,2.53,15.74,10.39,57,41,5.01
Z. anderssoni,,1936.4.13.65,M,Upper Lufra Valey,SE Congo,,FCM,11.64,5.52,2.53,2.69,15.92,11.79,56,41,5.87
Z. anderssoni,,1936.4.13.66,M,Upper Lufra Valey,SE Congo,,FCM,11.82,5.33,2.54,2.6,14.85,11.2,59,43,5.15
Z. anderssoni,,1947.75.10,U,Livingstone,N Rhodesia,3200',FCM,11.85,5.37,2.14,2.36,15.91,10.69,59,47,5.24
Z. anderssoni,,2008.10.32,F,Murethe plateau Mount Namuli,Mozambique,1860m,FCM,11.15,5.88,2.43,2.53,15.7,9.13,55,40,5.22
Z. anderssoni,,2008.10.33,M,Murethe plateau Mount Namuli,Mozambique,1860m,FCM,11.32,6.02,2.61,2.62,15.98,11.04,59,37.5,5.53
Z. anderssoni,,1932.5.5.126,M,"Kasane, Verbay-lang",,,FCM,10.26,5.8,2.49,2.61,16.61,12.15,61,46,5.44
Z. anderssoni,,1911.5.30.160,F,"Chirinda forest, N Gazaland",S Rhodesia,3500',FCM,11.2,5.87,2.31,2.61,15.75,12.3,61,41,4.67
Z. anderssoni,,1911.5.30.161,M,"Chirinda forest, N Gazaland",S Rhodesia,3500',FCM,11.61,5.59,2.05,2.49,15.4,11.92,58,40,4.34
